name	hdr	cited-pid	twin-path	twin-pid	status	print
ImmGetIMCCLockCount	include/Imm.h	ms906012	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906011.html	ms906011	twin-match	 | DWORD WINAPI ImmGetIMCCLockCount(HIMCC)
ImmGetIMCCSize	include/Imm.h	ms906040	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906012.html	ms906012	twin-match	 | DWORD WINAPI ImmGetIMCCSize(HIMCC)
ImmGetIMCLockCount	include/Imm.h	ms906039	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906013.html	ms906013	twin-match	 | DWORD WINAPI ImmGetIMCLockCount(HIMC)
ImmGetIMEFileNameW	include/Imm.h	ms906008			no-twin-page	
ImmGetImeMenuItemsW	include/Imm.h	ms906009			no-twin-page	
ImmGetProperty	include/Imm.h	ms906007	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906017.html	ms906017	twin-match	 | BOOL ImmGetProperty(HKL, DWORD)
ImmGetRegisterWordStyleW	include/Imm.h	ms905992			no-twin-page	
ImmGetStatusWindowPos	include/Imm.h	ms906035	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906019.html	ms906019	twin-match	 | BOOL ImmGetStatusWindowPos(HIMC, LPPOINT)
ImmGetVirtualKey	include/Imm.h	ms905994	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906020.html	ms906020	twin-match	 | UINT ImmGetVirtualKey(HWND)
ImmIsUIMessageW	include/Imm.h	ms905993			no-twin-page	
ImmLockIMC	include/Imm.h	ms905985	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906023.html	ms906023	twin-match	 | LPINPUTCONTEXT WINAPI ImmLockIMC(HIMC)
ImmLockIMCC	include/Imm.h	ms906028	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906024.html	ms906024	twin-match	 | LPVOID WINAPI ImmLockIMCC(HIMCC)
ImmReSizeIMCC	include/Imm.h	ms905990	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906028.html	ms906028	twin-match	 | HIMCC WINAPI ImmReSizeIMCC(HIMCC, DWORD)
ImmReleaseContext	include/Imm.h	ms906003	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906027.html	ms906027	twin-match	 | BOOL ImmReleaseContext(HWND, HIMC)
ImmSIPanelState	include/Imm.h	ms905991	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906038.html	ms906038	twin-match	 | BOOL ImmSIPanelState(UINT, LPVOID)
ImmSetCandidateWindow	include/Imm.h	ms905997	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906029.html	ms906029	twin-match	 | BOOL ImmSetCandidateWindow(HIMC, LPCANDIDATEFORM)
ImmSetCompositionFontW	include/Imm.h	ms905998			no-twin-page	
ImmSetCompositionStringW	include/Imm.h	ms906001			no-twin-page	
ImmSetCompositionWindow	include/Imm.h	ms906002	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906032.html	ms906032	twin-match	 | BOOL ImmSetCompositionWindow(HIMC, LPCOMPOSITIONFORM)
ImmSetConversionStatus	include/Imm.h	ms906005	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906033.html	ms906033	twin-match	 | BOOL ImmSetConversionStatus(HIMC, DWORD, DWORD)
ImmSetHotKey	include/Imm.h	ms906010	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906034.html	ms906034	twin-match	 | BOOL WINAPI ImmSetHotKey(DWORD, UINT, UINT, HKL)
ImmSetOpenStatus	include/Imm.h	ms906016	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906035.html	ms906035	twin-match	 | BOOL ImmSetOpenStatus(HIMC, BOOL)
ImmSetStatusWindowPos	include/Imm.h	ms906019	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906036.html	ms906036	twin-match	 | BOOL ImmSetStatusWindowPos(HIMC, LPPOINT)
ImmSimulateHotKey	include/Imm.h	ms906034	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906037.html	ms906037	twin-match	 | BOOL ImmSimulateHotKey(HWND, DWORD)
ImmUnlockIMC	include/Imm.h	ms906023	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906039.html	ms906039	twin-match	 | BOOL WINAPI ImmUnlockIMC(HIMC)
ImmUnlockIMCC	include/Imm.h	ms906024	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906040.html	ms906040	twin-match	 | BOOL WINAPI ImmUnlockIMCC(HIMCC)
ImmUnregisterWordW	include/Imm.h	ms906026			no-twin-page	
